city,location,value,unit,country,coordinates,timestamp
Delhi,Delhi_Central,121.4,µg/m³,IN,"{'latitude': 28.563401135811855, 'longitude': 77.26218839171169}",2025-09-26 20:30:50.877925
Mumbai,Mumbai_Central,93.1,µg/m³,IN,"{'latitude': 28.739862757963312, 'longitude': 77.34127074966281}",2025-09-26 20:30:50.877925
Kolkata,Kolkata_Central,97.5,µg/m³,IN,"{'latitude': 28.659744674958723, 'longitude': 77.23747359894634}",2025-09-26 20:30:50.877925
Chennai,Chennai_Central,56.4,µg/m³,IN,"{'latitude': 28.596368535202267, 'longitude': 77.38966903139418}",2025-09-26 20:30:50.877925
Bangalore,Bangalore_Central,52.3,µg/m³,IN,"{'latitude': 28.72405926284259, 'longitude': 77.06441710278006}",2025-09-26 20:30:50.877925
Pune,Pune_Central,51.8,µg/m³,IN,"{'latitude': 28.70009686123577, 'longitude': 77.10056235773722}",2025-09-26 20:30:50.877925
Ahmedabad,Ahmedabad_Central,117.7,µg/m³,IN,"{'latitude': 28.77808493922726, 'longitude': 77.09467156345305}",2025-09-26 20:30:50.877925
Jaipur,Jaipur_Central,95.4,µg/m³,IN,"{'latitude': 28.483381010538555, 'longitude': 77.25345323918127}",2025-09-26 20:30:50.877925
Lucknow,Lucknow_Central,146.3,µg/m³,IN,"{'latitude': 28.444478803803364, 'longitude': 77.35180233020164}",2025-09-26 20:30:50.877925
Kanpur,Kanpur_Central,120.9,µg/m³,IN,"{'latitude': 28.538750501355004, 'longitude': 77.25029867027268}",2025-09-26 20:30:50.877925
Nagpur,Nagpur_Central,44.8,µg/m³,IN,"{'latitude': 28.689115372707793, 'longitude': 77.23466785496605}",2025-09-26 20:30:50.877925
Indore,Indore_Central,78.1,µg/m³,IN,"{'latitude': 28.791626594849497, 'longitude': 77.25667210493542}",2025-09-26 20:30:50.877925
Patna,Patna_Central,206.1,µg/m³,IN,"{'latitude': 28.743278098725746, 'longitude': 77.27929955492664}",2025-09-26 20:30:50.877925
Vadodara,Vadodara_Central,65.9,µg/m³,IN,"{'latitude': 28.63855932547121, 'longitude': 77.31432084079442}",2025-09-26 20:30:50.877925
Ludhiana,Ludhiana_Central,111.2,µg/m³,IN,"{'latitude': 28.62309722212687, 'longitude': 77.24043620951292}",2025-09-26 20:30:50.877925
Agra,Agra_Central,134.1,µg/m³,IN,"{'latitude': 28.525169492233847, 'longitude': 77.33147865423057}",2025-09-26 20:30:50.877925
Nashik,Nashik_Central,74.0,µg/m³,IN,"{'latitude': 28.642473780611255, 'longitude': 77.24449901381463}",2025-09-26 20:30:50.877925
Faridabad,Faridabad_Central,201.4,µg/m³,IN,"{'latitude': 28.578001246663586, 'longitude': 77.14545468748572}",2025-09-26 20:30:50.877925
Delhi,Delhi_Central,81.8,µg/m³,IN,"{'latitude': 28.739134358454873, 'longitude': 77.07493965669805}",2025-09-26 21:30:50.877925
Mumbai,Mumbai_Central,108.2,µg/m³,IN,"{'latitude': 28.660366533245316, 'longitude': 77.18710106655871}",2025-09-26 21:30:50.877925
